"player_id","player_name","pos","team","n","adp_ovr","adp_pos","high_ovr","high_pos","low_ovr","low_pos"
"13606","Jones, Ronald","RB","TBB",89,105.6,32.8,59,24,139,40
"12140","Winston, Jameis","QB","NOS",75,107.8,27.7,27,13,148,32
"13193","Smith, Jonnu","TE","NEP",78,107.8,12.7,53,7,150,19
"12611","Goff, Jared","QB","DET",66,109.9,28.6,60,21,172,32
"13129","Fournette, Leonard","RB","TBB",81,109.9,33.7,65,24,136,39
"13424","Hill, Taysom","QB","NOS",59,110.5,28,38,14,176,35
"14838","Shenault, Laviska","WR","JAC",80,111.6,38.5,74,22,136,48
"13189","Engram, Evan","TE","NYG",64,112.4,13.3,60,7,169,22
"12171","Johnson, David","RB","HOU",71,112.6,34.5,64,22,155,45
"14141","Smith Jr., Irv","TE","MIN",69,113.2,13.5,62,8,142,19
"12647","Fuller, Will","WR","MIA",71,116.6,40.5,89,32,146,50
"13157","Samuel, Curtis","WR","WAS",72,116.9,40.9,85,29,147,55
"13146","Conner, James","RB","ARI",62,117.4,36.1,81,28,155,48
"14798","Moss, Zack","RB","BUF",75,117.4,35.4,62,21,146,42
"11680","Landry, Jarvis","WR","CLE",69,119.1,41.3,85,25,150,54
"10273","Newton, Cam","QB","NEP",53,120.8,29.9,72,20,152,34
"9988","Brown, Antonio","WR","TBB",60,120.8,42.1,83,24,144,53
"13646","Gallup, Michael","WR","DAL",66,121.3,42.4,94,29,141,53
"15284","Waddle, Jaylen","WR","MIA",55,122.6,42.9,74,22,167,60
"14842","Pittman, Michael","WR","IND",58,124.2,43.5,91,27,150,54
"13154","Williams, Mike","WR","LAC",61,125,44,80,22,165,58
"9902","Gronkowski, Rob","TE","TBB",38,128.4,16.4,49,6,159,22
"12676","Henry, Hunter","TE","NEP",44,130,16.3,88,11,160,23
"13809","Gage, Russell","WR","ATL",43,130.2,46.3,92,33,154,62
"9474","Cook, Jared","TE","LAC",36,130.9,16.9,51,7,170,23
"15301","Atwell, Tutu","WR","LAR",1,131,49,131,49,131,49
"12630","Drake, Kenyan","RB","LVR",48,131.6,39.3,85,29,159,46
"14105","Brown, Marquise","WR","BAL",50,132.3,47,94,37,161,58
"14805","Dillon, AJ","RB","GBP",46,132.7,39.5,108,34,156,46
"14870","Trautman, Adam","TE","NOS",42,132.7,16.7,100,11,171,23
"10973","Beasley, Cole","WR","BUF",35,134.2,47.5,81,26,177,60
"12176","Parker, DeVante","WR","MIA",41,134.6,48,86,26,173,64
"14085","Pollard, Tony","RB","DAL",44,135.2,40.2,106,32,156,49
"13850","Edwards, Gus","RB","BAL",45,135.6,40.6,75,25,158,46
"14834","Ruggs, Henry","WR","LVR",37,138.2,49.4,97,33,169,58
"13153","Davis, Corey","WR","NYJ",36,138.4,50.1,108,39,180,66
"15293","Bateman, Rashod","WR","BAL",35,138.5,49.8,93,28,161,58
"11247","Ertz, Zach","TE","PHI",29,140,18.7,78,9,185,26
"13622","Hines, Nyheim","RB","IND",33,140.3,42,105,32,161,47
"14113","Hardman, Mecole","WR","KCC",33,140.3,50.2,76,24,169,65
"15241","Jones, Mac","QB","NEP",30,140.3,32.3,105,26,176,36
"15288","Moore, Elijah","WR","NYJ",28,140.4,50.1,86,26,170,65
"14080","Singletary, Devin","RB","BUF",34,141,41.9,102,30,188,53
"11760","Garoppolo, Jimmy","QB","SFO",26,141.1,32.3,90,25,192,37
"13919","Firkser, Anthony","TE","TEN",26,141.1,18.7,100,11,176,25
